array,source_file,source_line,partition_type,dimension,element_count,reason,expected_storage,risk
next_state.rename.renamed_uops.rename.prs1,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.rename.prs2,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.rename.prs3,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.rename.ppred,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.rename.prs1_busy,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.rename.prs2_busy,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.rename.prs3_busy,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.rename.ppred_busy,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.rename.stale_pdst,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.rename.dst_rtype,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.rename.lrs1_rtype,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.rename.lrs2_rtype,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.rename.frs3_en,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.rename.fp_val,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.rename.fp_single,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.exception,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.exc_cause,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.bypassable,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.mem.mem_cmd,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.mem.mem_size,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.mem.mem_signed,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.mem.is_fence,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.mem.is_fencei,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.mem.is_amo,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.mem.uses_ldq,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.rename.renamed_uops.mem.uses_stq,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.rename.renamed_uops.mem.ldst_is_rs1,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.mem.ldst_val,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.is_sys_pc2epc,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.is_unique,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.flush_on_commit,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.exc.exception,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.exc.exc_cause,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.exc.xcpt_pf_if,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.exc.xcpt_ae_if,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.exc.xcpt_ma_if,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.exc.bp_debug_if,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.exc.bp_xcpt_if,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.debug.debug_fsrc,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.debug.debug_tsrc,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.debug.debug_inst,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_uops.debug.debug_pc,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.rename.renamed_valids,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy creates a field-level next_state temporary,scalar/register or explicit next-state field,MEDIUM
next_state.issue.alu_iq.entries.prs3_busy,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.issue.alu_iq.entries.prs1_data,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.issue.alu_iq.entries.prs2_data,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.issue.alu_iq.entries.prs3_data,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.execute.alu_results.valid,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.uopc,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.inst,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.debug_inst,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.is_rvc,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.debug_pc,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.iq_type,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.fu_code,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.ctrl.br_type,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.ctrl.op1_sel,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.ctrl.op2_sel,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.ctrl.imm_sel,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.ctrl.op_fcn,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.ctrl.fcn_dw,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.ctrl.csr_cmd,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.ctrl.is_load,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.ctrl.is_sta,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.ctrl.is_std,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.iw_state,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.iw_p1_poisoned,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.iw_p2_poisoned,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.branch.br_mask,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.branch.br_tag,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.branch.ftq_idx,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.branch.pc_lob,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.branch.edge_inst,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.branch.taken,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.branch.is_br,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.branch.is_jalr,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.branch.is_jal,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.branch.is_sfb,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.imm_packed,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.csr_addr,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.queue.rob_idx,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.queue.ldq_idx,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.execute.alu_results.uop.queue.stq_idx,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.execute.alu_results.uop.queue.rxq_idx,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.rename.ldst,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.rename.lrs1,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.rename.lrs2,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.rename.lrs3,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.rename.pdst,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.rename.prs1,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.rename.prs2,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.rename.prs3,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.rename.ppred,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.rename.prs1_busy,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.rename.prs2_busy,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.rename.prs3_busy,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.rename.ppred_busy,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.rename.stale_pdst,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.rename.dst_rtype,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.rename.lrs1_rtype,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.rename.lrs2_rtype,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.rename.frs3_en,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.rename.fp_val,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.rename.fp_single,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.exception,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.exc_cause,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.bypassable,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.mem.mem_cmd,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.mem.mem_size,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.mem.mem_signed,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.mem.is_fence,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.mem.is_fencei,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.mem.is_amo,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.mem.uses_ldq,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.execute.alu_results.uop.mem.uses_stq,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.execute.alu_results.uop.mem.ldst_is_rs1,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.mem.ldst_val,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.is_sys_pc2epc,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.is_unique,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.flush_on_commit,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.exc.exception,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.exc.exc_cause,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.exc.xcpt_pf_if,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.exc.xcpt_ae_if,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.exc.xcpt_ma_if,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.exc.bp_debug_if,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.exc.bp_xcpt_if,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.debug.debug_fsrc,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.debug.debug_tsrc,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.debug.debug_inst,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.uop.debug.debug_pc,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.result,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.exception,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.exc_cause,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.mispredict,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.redirect_pc,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.memory_valid,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.is_load,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.is_store,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.signed_load,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.memory_address,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.store_data,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.memory_mask,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.execute.alu_results.memory_size,../src/boom_core_step.cpp,132,automatic,all/unknown,1,whole-state copy plus top-level scheduling flattened a small lane array field,small register array,MEDIUM
next_state.lsu.stq.committed,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.lsu.stq.issued_to_memory,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.lsu.stq.completed,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.lsu.stq.killed,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.lsu.ldq.response_pending,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.lsu.ldq.completed,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.lsu.ldq.killed,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.lsu.ldq.transaction_id,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.lsu.ldq.result,../src/boom_core_step.cpp,132,automatic,all/unknown,8,BoomCoreState next_state = state exposes persistent arrays as next_state temporaries,persistent module state with explicit write ports,HIGH
next_state.rename.int_map_table.br_snapshots.0,../src/boom_core_step.cpp,132,automatic,all/unknown,32x8,BoomCoreState next_state = state clones branch snapshot storage before every cycle update,"persistent RAM, not per-cycle copied temporaries",HIGH
next_state.rename.int_map_table.br_snapshots.1,../src/boom_core_step.cpp,132,automatic,all/unknown,32x8,BoomCoreState next_state = state clones branch snapshot storage before every cycle update,"persistent RAM, not per-cycle copied temporaries",HIGH
next_state.rename.int_map_table.br_snapshots.2,../src/boom_core_step.cpp,132,automatic,all/unknown,32x8,BoomCoreState next_state = state clones branch snapshot storage before every cycle update,"persistent RAM, not per-cycle copied temporaries",HIGH
next_state.rename.int_map_table.br_snapshots.3,../src/boom_core_step.cpp,132,automatic,all/unknown,32x8,BoomCoreState next_state = state clones branch snapshot storage before every cycle update,"persistent RAM, not per-cycle copied temporaries",HIGH
