compressed_encoding,expanded_instruction,class,r2_root_cause,r3_result
0x936d,0x03b75713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9371,0x03c75713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9375,0x03d75713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9379,0x03e75713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x937d,0x03f75713,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9381,0x0207d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9382,0x000380e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9385,0x0217d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9389,0x0227d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x938d,0x0237d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9391,0x0247d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9395,0x0257d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9399,0x0267d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x939d,0x0277d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x93a1,0x0287d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x93a5,0x0297d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x93a9,0x02a7d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x93ad,0x02b7d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x93b1,0x02c7d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x93b5,0x02d7d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x93b9,0x02e7d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x93bd,0x02f7d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x93c1,0x0307d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x93c5,0x0317d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x93c9,0x0327d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x93cd,0x0337d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x93d1,0x0347d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x93d5,0x0357d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x93d9,0x0367d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x93dd,0x0377d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x93e1,0x0387d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x93e5,0x0397d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x93e9,0x03a7d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x93ed,0x03b7d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x93f1,0x03c7d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x93f5,0x03d7d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x93f9,0x03e7d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x93fd,0x03f7d793,C.SRLI shamt[5]=1,RV64 OP-IMM shift was classified by funct7 instead of funct6,SUPPORTED
0x9402,0x000400e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9482,0x000480e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9502,0x000500e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9582,0x000580e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9602,0x000600e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9682,0x000680e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9702,0x000700e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9782,0x000780e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9802,0x000800e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9882,0x000880e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9902,0x000900e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9982,0x000980e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9a02,0x000a00e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9a82,0x000a80e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9b02,0x000b00e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9b82,0x000b80e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9c02,0x000c00e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9c82,0x000c80e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9d02,0x000d00e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9d82,0x000d80e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9e02,0x000e00e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9e82,0x000e80e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9f02,0x000f00e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
0x9f82,0x000f80e7,C.JALR,Execute link value ignored compressed instruction length,SUPPORTED
