case_id,case_name,path,image,top,status,source_hash,rtl_hash,evidence
70,variant_slot6_gen7fff_maskb1,PATH_A,load_response,g6_l1r80_load_response,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,9b3f881a40a5a237f4a59ee0c4bafd2af674089dd794d6f7b58b1a28c9912dfc,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_70_variant_slot6_gen7fff_maskb1.log
71,variant_slot7_genfffd_maskb0,PATH_A,global_flush,g6_l1r80_global_flush,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,344921fb95a701aa1f79cc2bca245a7a5f80c26f6bcfe28b1d43f2bf8811ebe2,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_71_variant_slot7_genfffd_maskb0.log
72,variant_slot0_genfffe_maskb3,PATH_A,branch_recovery,g6_l1r80_branch_recovery,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,95e319dadbb7df26e8c3ad01dbde8b7376ba24f4ba8794ccab3213df5ebb23af,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_72_variant_slot0_genfffe_maskb3.log
73,variant_slot1_genffff_maskb2,PATH_A,queue_lifecycle,g6_l1r80_queue_lifecycle,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,63c8d62c566e93920e707d7ab4e89669843327586a0ad719ff85a4cb0a323dcd,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_73_variant_slot1_genffff_maskb2.log
74,variant_slot2_gen0_maskbd,PATH_A,load_response,g6_l1r80_load_response,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,9b3f881a40a5a237f4a59ee0c4bafd2af674089dd794d6f7b58b1a28c9912dfc,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_74_variant_slot2_gen0_maskbd.log
75,variant_slot3_gen1_maskbc,PATH_A,queue_lifecycle,g6_l1r80_queue_lifecycle,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,63c8d62c566e93920e707d7ab4e89669843327586a0ad719ff85a4cb0a323dcd,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_75_variant_slot3_gen1_maskbc.log
76,variant_slot4_gen7fff_maskbf,PATH_A,load_response,g6_l1r80_load_response,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,9b3f881a40a5a237f4a59ee0c4bafd2af674089dd794d6f7b58b1a28c9912dfc,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_76_variant_slot4_gen7fff_maskbf.log
77,variant_slot5_genfffd_maskbe,PATH_A,global_flush,g6_l1r80_global_flush,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,344921fb95a701aa1f79cc2bca245a7a5f80c26f6bcfe28b1d43f2bf8811ebe2,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_77_variant_slot5_genfffd_maskbe.log
78,variant_slot6_genfffe_maskb9,PATH_A,branch_recovery,g6_l1r80_branch_recovery,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,95e319dadbb7df26e8c3ad01dbde8b7376ba24f4ba8794ccab3213df5ebb23af,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_78_variant_slot6_genfffe_maskb9.log
79,variant_slot7_genffff_maskb8,PATH_A,queue_lifecycle,g6_l1r80_queue_lifecycle,PASS,b3cd4bdb13dc00e4b0293bc506268005bb8633b0e0036fc5e18f39314bbab618,63c8d62c566e93920e707d7ab4e89669843327586a0ad719ff85a4cb0a323dcd,/home/lab_726/boom/hls_boom/reports/gate6_0_full_lsu/l1/focused_rtl_redesign/logs/case_79_variant_slot7_genffff_maskb8.log
